sent	class
 How sorry I am! But colds were never so prevalent as they have been this autumn	1
 Mr Wingfield told me that he has never known them more general or heavy except when it has been quite an influenza	1
 That has been a good deal the case, my dear; but not to the degree you mention	1
 Perry says that colds have been very general, but not so heavy as he has very often known them in November Perry does not call it altogether a sickly season	1
 No, I do not know that Mr Wingfield considers it sickly except Ah! my poor dear child, the truth is, that in London it is always a sickly season	1
 Nobody is healthy in London, nobody can be	1
 It is a dreadful thing to have you forced to live there! so far off! and the air so bad! No, indeed are not at all in a bad air Our part of London is very superior to most others! You must not confound us with London in general, my dear sir The neighbourhood of Brunswick Square is very different from almost all the rest	1
 We are so very airy! I should be unwilling, I own, to live in any other part of the town; there is hardly any other that I could be satisfied to have my children in: but are so remarkably airy! Mr Wingfield thinks the vicinity of Brunswick Square decidedly the most favourable as to air Ah! my dear, it is not like Hartfield You make the best of it but after you have been a week at Hartfield, you are all of you different creatures; you do not look like the same	1
 Now I cannot say, that I think you are any of you looking well at present	1
 I am sorry to hear you say so, sir; but I assure you, excepting those little nervous head-aches and palpitations which I am never entirely free from anywhere, I am quite well myself; and if the children were rather pale before they went to bed, it was only because they were a little more tired than usual, from their journey and the happiness of coming	1
 I hope you will think better of their looks to-morrow; for I assure you Mr Wingfield told me, that he did not believe he had ever sent us off altogether, in such good case	1
 I trust, at least, that you do not think Mr Knightley looking ill, turning her eyes with affectionate anxiety towards her husband Middling, my dear; I cannot compliment you	1
 I think Mr John Knightley very far from looking well	1
 What is the matter, sir	1
 Did you speak to me	1
 cried Mr John Knightley, hearing his own name	1
 I am sorry to find, my love, that my father does not think you looking well but I hope it is only from being a little fatigued I could have wished, however, as you know, that you had seen Mr Wingfield before you left home	1
 My dear Isabella, exclaimed he hastily pray do not concern yourself about my looks Be satisfied with doctoring and coddling yourself and the children, and let me look as I chuse	1
 I did not thoroughly understand what you were telling your brother, cried Emma, about your friend Mr Graham's intending to have a bailiff from Scotland, to look after his new estate	1
 What will it answer	1
 Will not the old prejudice be too strong	1
 And she talked in this way so long and successfully that, when forced to give her attention again to her father and sister, she had nothing worse to hear than Isabella's kind inquiry after Jane Fairfax; and Jane Fairfax, though no great favourite with her in general, she was at that moment very happy to assist in praising	1
 That sweet, amiable Jane Fairfax! said Mrs John Knightley	1
 It is so long since I have seen her, except now and then for a moment accidentally in town! What happiness it must be to her good old grandmother and excellent aunt, when she comes to visit them! I always regret excessively on dear Emma's account that she cannot be more at Highbury; but now their daughter is married, I suppose Colonel and Mrs Campbell will not be able to part with her at all	1
 She would be such a delightful companion for Emma	1
 Mr Woodhouse agreed to it all, but added, Our little friend Harriet Smith, however, is just such another pretty kind of young person	1
 You will like Harriet	1
 Emma could not have a better companion than Harriet	1
 I am most happy to hear it but only Jane Fairfax one knows to be so very accomplished and superior! and exactly Emma's age	1
 This topic was discussed very happily, and others succeeded of similar moment, and passed away with similar harmony; but the evening did not close without a little return of agitation	1
 The gruel came and supplied a great deal to be said much praise and many comments undoubting decision of its wholesomeness for every constitution, and pretty severe Philippics upon the many houses where it was never met with tolerable; but, unfortunately, among the failures which the daughter had to instance, the most recent, and therefore most prominent, was in her own cook at South End, a young woman hired for the time, who never had been able to understand what she meant by a basin of nice smooth gruel, thin, but not too thin	1
 Often as she had wished for and ordered it, she had never been able to get any thing tolerable	1
 Here was a dangerous opening	1
 Ah! said Mr Woodhouse, shaking his head and fixing his eyes on her with tender concern	1
 The ejaculation in Emma's ear expressed, Ah! there is no end of the sad consequences of your going to South End It does not bear talking of	1
 And for a little while she hoped he would not talk of it, and that a silent rumination might suffice to restore him to the relish of his own smooth gruel	1
 After an interval of some minutes, however, he began with, I shall always be very sorry that you went to the sea this autumn, instead of coming here	1
 But why should you be sorry, sir	1
 I assure you, it did the children a great deal of good And, moreover, if you must go to the sea, it had better not have been to South End South End is an unhealthy place	1
 Perry was surprized to hear you had fixed upon South End I know there is such an idea with many people, but indeed it is quite a mistake, sir We all had our health perfectly well there, never found the least inconvenience from the mud; and Mr Wingfield says it is entirely a mistake to suppose the place unhealthy; and I am sure he may be depended on, for he thoroughly understands the nature of the air, and his own brother and family have been there repeatedly	1
 You should have gone to Cromer, my dear, if you went anywhere	1
 Perry was a week at Cromer once, and he holds it to be the best of all the sea-bathing places A fine open sea, he says, and very pure air And, by what I understand, you might have had lodgings there quite away from the sea a quarter of a mile off very comfortable	1
 You should have consulted Perry	1
 But, my dear sir, the difference of the journey; only consider how great it would have been	1
 An hundred miles, perhaps, instead of forty	1
 Ah! my dear, as Perry says, where health is at stake, nothing else should be considered; and if one is to travel, there is not much to chuse between forty miles and an hundred Better not move at all, better stay in London altogether than travel forty miles to get into a worse air This is just what Perry said It seemed to him a very ill-judged measure	1
 Emma's attempts to stop her father had been vain; and when he had reached such a point as this, she could not wonder at her brother-in-law's breaking out	1
 Mr Perry, said he, in a voice of very strong displeasure, would do as well to keep his opinion till it is asked for Why does he make it any business of his, to wonder at what I do	1
 at my taking my family to one part of the coast or another	1
 I may be allowed, I hope, the use of my judgment as well as Mr Perry	1
 I want his directions no more than his drugs He paused and growing cooler in a moment, added, with only sarcastic dryness, If Mr Perry can tell me how to convey a wife and five children a distance of an hundred and thirty miles with no greater expense or inconvenience than a distance of forty, I should be as willing to prefer Cromer to South End as he could himself	1
 True, true, cried Mr Knightley, with most ready interposition very true	1
 That's a consideration indeed But John, as to what I was telling you of my idea of moving the path to Langham, of turning it more to the right that it may not cut through the home meadows, I cannot conceive any difficulty	1
 I should not attempt it, if it were to be the means of inconvenience to the Highbury people, but if you call to mind exactly the present line of the path	1
 	1
 	1
 	1
 The only way of proving it, however, will be to turn to our maps I shall see you at the Abbey to-morrow morning I hope, and then we will look them over, and you shall give me your opinion	1
 Mr Woodhouse was rather agitated by such harsh reflections on his friend Perry, to whom he had, in fact, though unconsciously, been attributing many of his own feelings and expressions; but the soothing attentions of his daughters gradually removed the present evil, and the immediate alertness of one brother, and better recollections of the other, prevented any renewal of it	1
 III There could hardly be a happier creature in the world than Mrs John Knightley, in this short visit to Hartfield, going about every morning among her old acquaintance with her five children, and talking over what she had done every evening with her father and sister She had nothing to wish otherwise, but that the days did not pass so swiftly	1
 It was a delightful visit; perfect, in being much too short	1
 In general their evenings were less engaged with friends than their mornings; but one complete dinner engagement, and out of the house too, there was no avoiding, though at Christmas Mr Weston would take no denial; they must all dine at Randalls one day; even Mr Woodhouse was persuaded to think it a possible thing in preference to a division of the party	1
 How they were all to be conveyed, he would have made a difficulty if he could, but as his son and daughter's carriage and horses were actually at Hartfield, he was not able to make more than a simple question on that head; it hardly amounted to a doubt; nor did it occupy Emma long to convince him that they might in one of the carriages find room for Harriet also	1
 Harriet, Mr Elton, and Mr Knightley, their own especial set, were the only persons invited to meet them; the hours were to be early, as well as the numbers few; Mr Woodhouse's habits and inclination being consulted in every thing	1
 The evening before this great event (for it was a very great event that Mr Woodhouse should dine out, on the 24th of December) had been spent by Harriet at Hartfield, and she had gone home so much indisposed with a cold, that, but for her own earnest wish of being nursed by Mrs Goddard, Emma could not have allowed her to leave the house	1
 Emma called on her the next day, and found her doom already signed with regard to Randalls She was very feverish and had a bad sore throat: Mrs Goddard was full of care and affection, Mr Perry was talked of, and Harriet herself was too ill and low to resist the authority which excluded her from this delightful engagement, though she could not speak of her loss without many tears Emma sat with her as long as she could, to attend her in Mrs Goddard's unavoidable absences, and raise her spirits by representing how much Mr Elton's would be depressed when he knew her state; and left her at last tolerably comfortable, in the sweet dependence of his having a most comfortless visit, and of their all missing her very much	1
 She had not advanced many yards from Mrs Goddard's door, when she was met by Mr Elton himself, evidently coming towards it, and as they walked on slowly together in conversation about the invalid of whom he, on the rumour of considerable illness, had been going to inquire, that he might carry some report of her to Hartfield they were overtaken by Mr John Knightley returning from the daily visit to Donwell, with his two eldest boys, whose healthy, glowing faces shewed all the benefit of a country run, and seemed to ensure a quick despatch of the roast mutton and rice pudding they were hastening home for They joined company and proceeded together Emma was just describing the nature of her friend's complaint; a throat very much inflamed, with a great deal of heat about her, a quick, low pulse, &c	1
 and she was sorry to find from Mrs Goddard that Harriet was liable to very bad sore-throats, and had often alarmed her with them Mr Elton looked all alarm on the occasion, as he exclaimed, A sore-throat! I hope not infectious I hope not of a putrid infectious sort	1
 Has Perry seen her	1
 Indeed you should take care of yourself as well as of your friend Let me entreat you to run no risks Why does not Perry see her	1
 Emma, who was not really at all frightened herself, tranquillised this excess of apprehension by assurances of Mrs Goddard's experience and care; but as there must still remain a degree of uneasiness which she could not wish to reason away, which she would rather feed and assist than not, she added soon afterwards as if quite another subject, It is so cold, so very cold and looks and feels so very much like snow, that if it were to any other place or with any other party, I should really try not to go out to-day and dissuade my father from venturing; but as he has made up his mind, and does not seem to feel the cold himself, I do not like to interfere, as I know it would be so great a disappointment to Mr and Mrs Weston	1
 But, upon my word, Mr Elton, in your case, I should certainly excuse myself	1
 You appear to me a little hoarse already, and when you consider what demand of voice and what fatigues to-morrow will bring, I think it would be no more than common prudence to stay at home and take care of yourself to-night	1
 Mr Elton looked as if he did not very well know what answer to make; which was exactly the case; for though very much gratified by the kind care of such a fair lady, and not liking to resist any advice of her's, he had not really the least inclination to give up the visit; but Emma, too eager and busy in her own previous conceptions and views to hear him impartially, or see him with clear vision, was very well satisfied with his muttering acknowledgment of its being very cold, certainly very cold, and walked on, rejoicing in having extricated him from Randalls, and secured him the power of sending to inquire after Harriet every hour of the evening	1
 You do quite right, said she; we will make your apologies to Mr and Mrs Weston	1
 But hardly had she so spoken, when she found her brother was civilly offering a seat in his carriage, if the weather were Mr Elton's only objection, and Mr Elton actually accepting the offer with much prompt satisfaction	1
 It was a done thing; Mr Elton was to go, and never had his broad handsome face expressed more pleasure than at this moment; never had his smile been stronger, nor his eyes more exulting than when he next looked at her Well, said she to herself, this is most strange! After I had got him off so well, to chuse to go into company, and leave Harriet ill behind! Most strange indeed! But there is, I believe, in many men, especially single men, such an inclination such a passion for dining out a dinner engagement is so high in the class of their pleasures, their employments, their dignities, almost their duties, that any thing gives way to it and this must be the case with Mr Elton; a most valuable, amiable, pleasing young man undoubtedly, and very much in love with Harriet; but still, he cannot refuse an invitation, he must dine out wherever he is asked What a strange thing love is! he can see ready wit in Harriet, but will not dine alone for her Soon afterwards Mr Elton quitted them, and she could not but do him the justice of feeling that there was a great deal of sentiment in his manner of naming Harriet at parting; in the tone of his voice while assuring her that he should call at Mrs Goddard's for news of her fair friend, the last thing before he prepared for the happiness of meeting her again, when he hoped to be able to give a better report; and he sighed and smiled himself off in a way that left the balance of approbation much in his favour After a few minutes of entire silence between them, John Knightley began with I never in my life saw a man more intent on being agreeable than Mr Elton	1
 It is downright labour to him where ladies are concerned With men he can be rational and unaffected, but when he has ladies to please, every feature works Mr Elton's manners are not perfect, replied Emma; but where there is a wish to please, one ought to overlook, and one does overlook a great deal	1
 Where a man does his best with only moderate powers, he will have the advantage over negligent superiority	1
 There is such perfect good-temper and good-will in Mr Elton as one cannot but value	1
 Yes, said Mr John Knightley presently, with some slyness, he seems to have a great deal of good-will towards you	1
 Me! she replied with a smile of astonishment, are you imagining me to be Mr Elton's object	1
 Such an imagination has crossed me, I own, Emma; and if it never occurred to you before, you may as well take it into consideration now	1
 Mr Elton in love with me! What an idea! I do not say it is so; but you will do well to consider whether it is so or not, and to regulate your behaviour accordingly	1
 I think your manners to him encouraging	1
 I speak as a friend, Emma	1
 You had better look about you, and ascertain what you do, and what you mean to do	1
 I thank you; but I assure you you are quite mistaken	1
 Mr Elton and I are very good friends, and nothing more; and she walked on, amusing herself in the consideration of the blunders which often arise from a partial knowledge of circumstances, of the mistakes which people of high pretensions to judgment are for ever falling into; and not very well pleased with her brother for imagining her blind and ignorant, and in want of counsel	1
 He said no more	1
 Mr Woodhouse had so completely made up his mind to the visit, that in spite of the increasing coldness, he seemed to have no idea of shrinking from it, and set forward at last most punctually with his eldest daughter in his own carriage, with less apparent consciousness of the weather than either of the others; too full of the wonder of his own going, and the pleasure it was to afford at Randalls to see that it was cold, and too well wrapt up to feel it	1
 The cold, however, was severe; and by the time the second carriage was in motion, a few flakes of snow were finding their way down, and the sky had the appearance of being so overcharged as to want only a milder air to produce a very white world in a very short time	1
 Emma soon saw that her companion was not in the happiest humour The preparing and the going abroad in such weather, with the sacrifice of his children after dinner, were evils, were disagreeables at least, which Mr John Knightley did not by any means like; he anticipated nothing in the visit that could be at all worth the purchase; and the whole of their drive to the vicarage was spent by him in expressing his discontent	1
 A man, said he, must have a very good opinion of himself when he asks people to leave their own fireside, and encounter such a day as this, for the sake of coming to see him He must think himself a most agreeable fellow; I could not do such a thing	1
 It is the greatest absurdity Actually snowing at this moment! The folly of not allowing people to be comfortable at home and the folly of people's not staying comfortably at home when they can! If we were obliged to go out such an evening as this, by any call of duty or business, what a hardship we should deem it; and here are we, probably with rather thinner clothing than usual, setting forward voluntarily, without excuse, in defiance of the voice of nature, which tells man, in every thing given to his view or his feelings, to stay at home himself, and keep all under shelter that he can; here are we setting forward to spend five dull hours in another man's house, with nothing to say or to hear that was not said and heard yesterday, and may not be said and heard again to-morrow	1
 Going in dismal weather, to return probably in worse; four horses and four servants taken out for nothing but to convey five idle, shivering creatures into colder rooms and worse company than they might have had at home	1
 Emma did not find herself equal to give the pleased assent, which no doubt he was in the habit of receiving, to emulate the Very true, my love, which must have been usually administered by his travelling companion; but she had resolution enough to refrain from making any answer at all	1
 She could not be complying, she dreaded being quarrelsome; her heroism reached only to silence	1
 She allowed him to talk, and arranged the glasses, and wrapped herself up, without opening her lips They arrived, the carriage turned, the step was let down, and Mr Elton, spruce, black, and smiling, was with them instantly	1
 Emma thought with pleasure of some change of subject	1
 Mr Elton was all obligation and cheerfulness; he was so very cheerful in his civilities indeed, that she began to think he must have received a different account of Harriet from what had reached her She had sent while dressing, and the answer had been, Much the same not better report from Mrs Goddard's, said she presently, was not so pleasant as I had hoped `Not better' was answer His face lengthened immediately; and his voice was the voice of sentiment as he answered Oh! no I am grieved to find I was on the point of telling you that when I called at Mrs Goddard's door, which I did the very last thing before I returned to dress, I was told that Miss Smith was not better, by no means better, rather worse	1
 Very much grieved and concerned I had flattered myself that she must be better after such a cordial as I knew had been given her in the morning	1
 Emma smiled and answered My visit was of use to the nervous part of her complaint, I hope; but not even I can charm away a sore throat; it is a most severe cold indeed Mr Perry has been with her, as you probably heard Yes I imagined that is I did not He has been used to her in these complaints, and I hope to-morrow morning will bring us both a more comfortable report	1
 But it is impossible not to feel uneasiness Such a sad loss to our party to-day! Dreadful! Exactly so, indeed She will be missed every moment	1
 This was very proper; the sigh which accompanied it was really estimable; but it should have lasted longer Emma was rather in dismay when only half a minute afterwards he began to speak of other things, and in a voice of the greatest alacrity and enjoyment	1
 What an excellent device, said he, the use of a sheepskin for carriages How very comfortable they make it; impossible to feel cold with such precautions The contrivances of modern days indeed have rendered a gentleman's carriage perfectly complete	1
 One is so fenced and guarded from the weather, that not a breath of air can find its way unpermitted Weather becomes absolutely of no consequence	1
 It is a very cold afternoon but in this carriage we know nothing of the matter Ha! snows a little I see	1
 Yes, said John Knightley, and I think we shall have a good deal of it	1
 Christmas weather, observed Mr Elton	1
 Quite seasonable; and extremely fortunate we may think ourselves that it did not begin yesterday, and prevent this day's party, which it might very possibly have done, for Mr Woodhouse would hardly have ventured had there been much snow on the ground; but now it is of no consequence	1
 This is quite the season indeed for friendly meetings At Christmas every body invites their friends about them, and people think little of even the worst weather I was snowed up at a friend's house once for a week	1
 Nothing could be pleasanter I went for only one night, and could not get away till that very day se'nnight	1
 Mr John Knightley looked as if he did not comprehend the pleasure, but said only, coolly, I cannot wish to be snowed up a week at Randalls At another time Emma might have been amused, but she was too much astonished now at Mr Elton's spirits for other feelings Harriet seemed quite forgotten in the expectation of a pleasant party	1
 We are sure of excellent fires, continued he, and every thing in the greatest comfort	1
 Charming people, Mr and Mrs Weston; Mrs Weston indeed is much beyond praise, and he is exactly what one values, so hospitable, and so fond of society; it will be a small party, but where small parties are select, they are perhaps the most agreeable of any	1
 Mr Weston's dining-room does not accommodate more than ten comfortably; and for my part, I would rather, under such circumstances, fall short by two than exceed by two	1
 I think you will agree with me, (turning with a soft air to Emma,) I think I shall certainly have your approbation, though Mr Knightley perhaps, from being used to the large parties of London, may not quite enter into our feelings I know nothing of the large parties of London, sir I never dine with any body	1
 Indeed! (in a tone of wonder and pity,) I had no idea that the law had been so great a slavery	1
 Well, sir, the time must come when you will be paid for all this, when you will have little labour and great enjoyment	1
 My first enjoyment, replied John Knightley, as they passed through the sweep-gate, will be to find myself safe at Hartfield again	1
 IV Some change of countenance was necessary for each gentleman as they walked into Mrs Weston's drawing-room; Mr Elton must compose his joyous looks, and Mr John Knightley disperse his ill-humour Mr Elton must smile less, and Mr John Knightley more, to fit them for the place	1
 Emma only might be as nature prompted, and shew herself just as happy as she was To her it was real enjoyment to be with the Westons Mr Weston was a great favourite, and there was not a creature in the world to whom she spoke with such unreserve, as to his wife; not any one, to whom she related with such conviction of being listened to and understood, of being always interesting and always intelligible, the little affairs, arrangements, perplexities, and pleasures of her father and herself	1
 She could tell nothing of Hartfield, in which Mrs Weston had not a lively concern; and half an hour's uninterrupted communication of all those little matters on which the daily happiness of private life depends, was one of the first gratifications of each	1
 This was a pleasure which perhaps the whole day's visit might not afford, which certainly did not belong to the present half-hour; but the very sight of Mrs Weston, her smile, her touch, her voice was grateful to Emma, and she determined to think as little as possible of Mr Elton's oddities, or of any thing else unpleasant, and enjoy all that was enjoyable to the utmost	1
 The misfortune of Harriet's cold had been pretty well gone through before her arrival	1
 Mr Woodhouse had been safely seated long enough to give the history of it, besides all the history of his own and Isabella's coming, and of Emma's being to follow, and had indeed just got to the end of his satisfaction that James should come and see his daughter, when the others appeared, and Mrs Weston, who had been almost wholly engrossed by her attentions to him, was able to turn away and welcome her dear Emma	1
 Emma's project of forgetting Mr Elton for a while made her rather sorry to find, when they had all taken their places, that he was close to her The difficulty was great of driving his strange insensibility towards Harriet, from her mind, while he not only sat at her elbow, but was continually obtruding his happy countenance on her notice, and solicitously addressing her upon every occasion	1
 Instead of forgetting him, his behaviour was such that she could not avoid the internal suggestion of Can it really be as my brother imagined	1
 can it be possible for this man to be beginning to transfer his affections from Harriet to me	1
 Absurd and insufferable! Yet he would be so anxious for her being perfectly warm, would be so interested about her father, and so delighted with Mrs Weston; and at last would begin admiring her drawings with so much zeal and so little knowledge as seemed terribly like a would-be lover, and made it some effort with her to preserve her good manners For her own sake she could not be rude; and for Harriet's, in the hope that all would yet turn out right, she was even positively civil; but it was an effort; especially as something was going on amongst the others, in the most overpowering period of Mr Elton's nonsense, which she particularly wished to listen to	1
 She heard enough to know that Mr Weston was giving some information about his son; she heard the words my son, and Frank, and my son, repeated several times over; and, from a few other half-syllables very much suspected that he was announcing an early visit from his son; but before she could quiet Mr Elton, the subject was so completely past that any reviving question from her would have been awkward Now, it so happened that in spite of Emma's resolution of never marrying, there was something in the name, in the idea of Mr Frank Churchill, which always interested her She had frequently thought especially since his father's marriage with Miss Taylor that if she to marry, he was the very person to suit her in age, character and condition	1
 He seemed by this connexion between the families, quite to belong to her She could not but suppose it to be a match that every body who knew them must think of	1
 That Mr and Mrs Weston did think of it, she was very strongly persuaded; and though not meaning to be induced by him, or by any body else, to give up a situation which she believed more replete with good than any she could change it for, she had a great curiosity to see him, a decided intention of finding him pleasant, of being liked by him to a certain degree, and a sort of pleasure in the idea of their being coupled in their friends' imaginations With such sensations, Mr Elton's civilities were dreadfully ill-timed; but she had the comfort of appearing very polite, while feeling very cross and of thinking that the rest of the visit could not possibly pass without bringing forward the same information again, or the substance of it, from the open-hearted Mr Weston	1
 So it proved; for when happily released from Mr Elton, and seated by Mr Weston, at dinner, he made use of the very first interval in the cares of hospitality, the very first leisure from the saddle of mutton, to say to her, We want only two more to be just the right number I should like to see two more here, your pretty little friend, Miss Smith, and my son and then I should say we were quite complete	1
 I believe you did not hear me telling the others in the drawing-room that we are expecting Frank	1
 I had a letter from him this morning, and he will be with us within a fortnight	1
 Emma spoke with a very proper degree of pleasure; and fully assented to his proposition of Mr Frank Churchill and Miss Smith making their party quite complete	1
 He has been wanting to come to us, continued Mr Weston, ever since September: every letter has been full of it; but he cannot command his own time	1
 He has those to please who must be pleased, and who (between ourselves) are sometimes to be pleased only by a good many sacrifices But now I have no doubt of seeing him here about the second week in January	1
 What a very great pleasure it will be to you! and Mrs Weston is so anxious to be acquainted with him, that she must be almost as happy as yourself	1
 Yes, she would be, but that she thinks there will be another put-off	1
 She does not depend upon his coming so much as I do: but she does not know the parties so well as I do	1
 The case, you see, is (but this is quite between ourselves: I did not mention a syllable of it in the other room There are secrets in all families, you know) The case is, that a party of friends are invited to pay a visit at Enscombe in January; and that Frank's coming depends upon their being put off	1
 If they are not put off, he cannot stir But I know they will, because it is a family that a certain lady, of some consequence, at Enscombe, has a particular dislike to: and though it is thought necessary to invite them once in two or three years, they always are put off when it comes to the point	1
 I have not the smallest doubt of the issue	1
 I am as confident of seeing Frank here before the middle of January, as I am of being here myself: but your good friend there (nodding towards the upper end of the table) has so few vagaries herself, and has been so little used to them at Hartfield, that she cannot calculate on their effects, as I have been long in the practice of doing	1
 I am sorry there should be any thing like doubt in the case, replied Emma; but am disposed to side with you, Mr Weston	1
 If you think he will come, I shall think so too; for you know Enscombe	1
 Yes I have some right to that knowledge; though I have never been at the place in my life	1
 She is an odd woman! But I never allow myself to speak ill of her, on Frank's account; for I do believe her to be very fond of him I used to think she was not capable of being fond of any body, except herself: but she has always been kind to him (in her way allowing for little whims and caprices, and expecting every thing to be as she likes)	1
 And it is no small credit, in my opinion, to him, that he should excite such an affection; for, though I would not say it to any body else, she has no more heart than a stone to people in general; and the devil of a temper Emma liked the subject so well, that she began upon it, to Mrs Weston, very soon after their moving into the drawing-room: wishing her joy yet observing, that she knew the first meeting must be rather alarming	1
 Mrs Weston agreed to it; but added, that she should be very glad to be secure of undergoing the anxiety of a first meeting at the time talked of: for I cannot depend upon his coming	1
 I cannot be so sanguine as Mr Weston	1
 I am very much afraid that it will all end in nothing	1
 Mr Weston, I dare say, has been telling you exactly how the matter stands	1
 Yes it seems to depend upon nothing but the ill-humour of Mrs Churchill, which I imagine to be the most certain thing in the world My Emma! replied Mrs Weston, smiling, what is the certainty of caprice	1
 Then turning to Isabella, who had not been attending before You must know, my dear Mrs Knightley, that we are by no means so sure of seeing Mr Frank Churchill, in my opinion, as his father thinks It depends entirely upon his aunt's spirits and pleasure; in short, upon her temper To you to my two daughters I may venture on the truth	1
 Mrs Churchill rules at Enscombe, and is a very odd-tempered woman; and his coming now, depends upon her being willing to spare him Oh, Mrs Churchill; every body knows Mrs Churchill, replied Isabella: and I am sure I never think of that poor young man without the greatest compassion	1
 To be constantly living with an ill-tempered person, must be dreadful	1
 It is what we happily have never known any thing of; but it must be a life of misery	1
 What a blessing, that she never had any children! Poor little creatures, how unhappy she would have made them! Emma wished she had been alone with Mrs Weston	1
 She should then have heard more: Mrs Weston would speak to her, with a degree of unreserve which she would not hazard with Isabella; and, she really believed, would scarcely try to conceal any thing relative to the Churchills from her, excepting those views on the young man, of which her own imagination had already given her such instinctive knowledge	1
 But at present there was nothing more to be said Mr Woodhouse very soon followed them into the drawing-room To be sitting long after dinner, was a confinement that he could not endure	1
 Neither wine nor conversation was any thing to him; and gladly did he move to those with whom he was always comfortable	1
 While he talked to Isabella, however, Emma found an opportunity of saying, And so you do not consider this visit from your son as by any means certain	1
 I am sorry for it	1
 The introduction must be unpleasant, whenever it takes place; and the sooner it could be over, the better Yes; and every delay makes one more apprehensive of other delays Even if this family, the Braithwaites, are put off, I am still afraid that some excuse may be found for disappointing us I cannot bear to imagine any reluctance on his side; but I am sure there is a great wish on the Churchills' to keep him to themselves There is jealousy	1
 They are jealous even of his regard for his father In short, I can feel no dependence on his coming, and I wish Mr Weston were less sanguine	1
 He ought to come, said Emma	1
 If he could stay only a couple of days, he ought to come; and one can hardly conceive a young man's not having it in his power to do as much as that	1
 A young , if she fall into bad hands, may be teazed, and kept at a distance from those she wants to be with; but one cannot comprehend a young 's being under such restraint, as not to be able to spend a week with his father, if he likes it	1
 One ought to be at Enscombe, and know the ways of the family, before one decides upon what he can do, replied Mrs Weston	1
 One ought to use the same caution, perhaps, in judging of the conduct of any one individual of any one family; but Enscombe, I believe, certainly must not be judged by general rules: is so very unreasonable; and every thing gives way to her But she is so fond of the nephew: he is so very great a favourite	1
 Now, according to my idea of Mrs Churchill, it would be most natural, that while she makes no sacrifice for the comfort of the husband, to whom she owes every thing, while she exercises incessant caprice towards , she should frequently be governed by the nephew, to whom she owes nothing at all	1
 My dearest Emma, do not pretend, with your sweet temper, to understand a bad one, or to lay down rules for it: you must let it go its own way	1
 I have no doubt of his having, at times, considerable influence; but it may be perfectly impossible for him to know beforehand it will be	1
 Emma listened, and then coolly said, I shall not be satisfied, unless he comes He may have a great deal of influence on some points, continued Mrs Weston, and on others, very little: and among those, on which she is beyond his reach, it is but too likely, may be this very circumstance of his coming away from them to visit us V Mr Woodhouse was soon ready for his tea; and when he had drank his tea he was quite ready to go home; and it was as much as his three companions could do, to entertain away his notice of the lateness of the hour, before the other gentlemen appeared Mr Weston was chatty and convivial, and no friend to early separations of any sort; but at last the drawing-room party did receive an augmentation	1
 Mr Elton, in very good spirits, was one of the first to walk in	1
 Mrs Weston and Emma were sitting together on a sofa	1
 He joined them immediately, and, with scarcely an invitation, seated himself between them Emma, in good spirits too, from the amusement afforded her mind by the expectation of Mr Frank Churchill, was willing to forget his late improprieties, and be as well satisfied with him as before, and on his making Harriet his very first subject, was ready to listen with most friendly smiles He professed himself extremely anxious about her fair friend her fair, lovely, amiable friend Did she know	1
 had she heard any thing about her, since their being at Randalls	1
 he felt much anxiety he must confess that the nature of her complaint alarmed him considerably	1
 And in this style he talked on for some time very properly, not much attending to any answer, but altogether sufficiently awake to the terror of a bad sore throat; and Emma was quite in charity with him But at last there seemed a perverse turn; it seemed all at once as if he were more afraid of its being a bad sore throat on her account, than on Harriet's more anxious that she should escape the infection, than that there should be no infection in the complaint	1
 He began with great earnestness to entreat her to refrain from visiting the sick-chamber again, for the present to entreat her to not to venture into such hazard till he had seen Mr Perry and learnt his opinion; and though she tried to laugh it off and bring the subject back into its proper course, there was no putting an end to his extreme solicitude about her She was vexed It did appear there was no concealing it exactly like the pretence of being in love with her, instead of Harriet; an inconstancy, if real, the most contemptible and abominable! and she had difficulty in behaving with temper He turned to Mrs Weston to implore her assistance, Would not she give him her support	1
 would not she add her persuasions to his, to induce Miss Woodhouse not to go to Mrs Goddard's till it were certain that Miss Smith's disorder had no infection	1
 He could not be satisfied without a promise would not she give him her influence in procuring it	1
 So scrupulous for others, he continued, and yet so careless for herself! She wanted me to nurse my cold by staying at home to-day, and yet will not promise to avoid the danger of catching an ulcerated sore throat herself	1
 Is this fair, Mrs Weston	1
 Judge between us Have not I some right to complain	1
 I am sure of your kind support and aid Emma saw Mrs Weston's surprize, and felt that it must be great, at an address which, in words and manner, was assuming to himself the right of first interest in her; and as for herself, she was too much provoked and offended to have the power of directly saying any thing to the purpose	1
 She could only give him a look; but it was such a look as she thought must restore him to his senses, and then left the sofa, removing to a seat by her sister, and giving her all her attention	1
 She had not time to know how Mr Elton took the reproof, so rapidly did another subject succeed; for Mr John Knightley now came into the room from examining the weather, and opened on them all with the information of the ground being covered with snow, and of its still snowing fast, with a strong drifting wind; concluding with these words to Mr Woodhouse: This will prove a spirited beginning of your winter engagements, sir Something new for your coachman and horses to be making their way through a storm of snow	1
 Poor Mr Woodhouse was silent from consternation; but every body else had something to say; every body was either surprized or not surprized, and had some question to ask, or some comfort to offer Mrs Weston and Emma tried earnestly to cheer him and turn his attention from his son-in-law, who was pursuing his triumph rather unfeelingly	1
